"","hightemp01","hightemp02","normal01","normal02"
"AQUIFEX_01423",19352.8514397557,19541.623790219,594.047091930774,540.225610652623
"AQUIFEX_01759",5891.13238228332,5906.82310313772,149.508496291302,183.397624280595
"AQUIFEX_01761",5403.54887789134,5284.5290501986,173.42985569791,163.46309990227
"AQUIFEX_01731",0,0,197.351215104519,192.368160250842
"AQUIFEX_01740",0,0,159.475729377389,133.561313334781
"AQUIFEX_01546",957.108360473141,905.606840619061,958.847822881551,1015.66401707569
"AQUIFEX_01624",477.550921997081,381.726703400351,434.571362553385,410.651202193507
"AQUIFEX_01330",368.195773892707,314.129266339872,302.00716250843,353.837807715279
"AQUIFEX_00184",414.345652909232,429.442541325394,466.466508428863,480.422037517647
"AQUIFEX_00706",684.222119331952,634.223012420374,672.788233310859,604.016088663265
"AQUIFEX_00290",418.358685867191,364.827344135231,410.650003146776,372.775605874688
"AQUIFEX_01743",309.003537762817,258.460788760654,243.200487300518,287.057151047888
"AQUIFEX_00691",513.668218618709,445.347820633742,488.394421218254,468.461322890651
"AQUIFEX_01349",459.492273686267,481.134699077525,416.630342998429,434.572631447498
"AQUIFEX_00771",274.892757620168,243.549589409078,232.236530905823,287.057151047888
"AQUIFEX_01362",351.140383821383,371.785903832633,329.915415149473,403.674118661093
"AQUIFEX_01035",491.596537349936,431.430701238938,466.466508428863,424.605369258335
"AQUIFEX_01418",414.345652909232,433.418861152481,372.774517419647,377.75923696927
"AQUIFEX_01517",272.886241141189,304.188466772154,344.866264778604,334.90000955587
"AQUIFEX_00900",321.042636636693,294.247667204437,334.899031692517,271.109531545228
"AQUIFEX_00602",246.801526914458,180.922552132458,221.272574511127,197.351791345423
"AQUIFEX_00083",464.508564883715,508.968937867134,504.341994155992,470.454775328484
"AQUIFEX_00769",331.07521903159,371.785903832633,334.899031692517,372.775605874688
"AQUIFEX_01326",333.081735510569,371.785903832633,382.741750505733,344.867271745033
"AQUIFEX_01477",298.97095536792,318.105586166959,261.141506855474,277.089888858726
"AQUIFEX_01000",212.690746771809,153.088313342849,201.338108338954,175.423814529265
"AQUIFEX_00233",268.87320818323,274.366068069002,305.994055742865,310.978580301879
"AQUIFEX_01516",290.944889452003,268.401588328371,330.912138458082,304.998222988381
"AQUIFEX_00302",519.687768055647,483.122858991069,510.322334007645,470.454775328484
"AQUIFEX_01322",275.896015859658,254.484468933567,219.27912789391,291.044055923554
"AQUIFEX_01156",187.609290784568,171.975832521512,151.501942908519,127.580956021284
"AQUIFEX_01554",244.795010435478,206.768631008523,191.370875252867,227.253577912912
"AQUIFEX_01288",214.697263250788,176.946232305371,179.410195549563,215.292863285916
"AQUIFEX_00873",365.185999174238,334.010865475307,369.784347493821,308.985127864047
"AQUIFEX_01619",194.632098460995,159.052793083479,159.475729377389,195.358338907591
"AQUIFEX_01646",290.944889452003,338.981265259165,328.918691840865,304.001496769465
"AQUIFEX_00838",235.765686280071,278.342387896089,244.197210609127,279.083341296558
"AQUIFEX_00786",170.553900713243,190.863351700175,225.259467745562,219.279768161581
"AQUIFEX_01637",321.042636636693,303.194386815383,269.115293324344,279.083341296558
"AQUIFEX_01628",694.254701726849,648.140131815179,653.850490447295,619.963708165926
"AQUIFEX_01031",245.798268674968,253.490388976795,285.062866262083,287.057151047888
"AQUIFEX_00778",393.277229879949,350.910224740426,426.597576084515,401.680666223261
"AQUIFEX_01117",213.694005011299,208.756790922067,180.406918858171,171.4369096536
"AQUIFEX_00386",272.886241141189,290.27134737735,308.984225668691,257.1553644804
"AQUIFEX_01188",278.905790578127,310.152946512785,277.089079793213,314.965485177544
"AQUIFEX_01390",186.606032545078,158.058713126708,151.501942908519,190.374707813009
"AQUIFEX_00025",288.938372973024,236.591029711676,229.246360979997,261.142269356065
"AQUIFEX_00288",100.325823948967,65.6092771469352,75.7509714542597,107.646431642958
"AQUIFEX_01410",426.384751783108,458.270860071775,521.28629040234,427.595547915084
"AQUIFEX_00875",351.140383821383,327.052305777905,358.820391099125,314.965485177544
"AQUIFEX_00869",279.909048817617,230.626549971045,262.138230164083,243.201197415572
"AQUIFEX_00478",148.482219444471,179.928472175686,137.547816587998,173.430362091433
"AQUIFEX_01627",489.590020870957,458.270860071775,466.466508428863,408.657749755675
"AQUIFEX_01566",200.651647897933,250.50814910648,238.216870757475,219.279768161581
"AQUIFEX_01499",197.641873179464,182.910712046001,214.295511350866,166.453278559019
"AQUIFEX_01201",128.417054654677,97.4198357636311,130.570753427737,98.6758956727117
"AQUIFEX_00946",208.67771381385,174.958072391827,179.410195549563,210.309232191335
"AQUIFEX_00211",239.77871923803,278.342387896089,288.053036187909,257.1553644804
"AQUIFEX_01224",256.834109309354,299.218066988296,316.95801213756,286.060424828972
"AQUIFEX_01359",258.840625788334,256.472628847111,295.030099348169,287.057151047888
"AQUIFEX_00423",286.931856494044,256.472628847111,287.0563128793,251.175007166902
"AQUIFEX_00866",290.944889452003,260.448948674197,308.984225668691,277.089888858726
"AQUIFEX_01492",541.75944932442,548.732136138004,621.955344571817,572.120849657944
"AQUIFEX_00097",240.78197747752,264.425268501285,271.108739941561,229.247030350744
"AQUIFEX_00741",367.192515653218,363.833264178459,336.892478309734,332.906557118037
"AQUIFEX_00374",115.374697541312,125.25407455324,153.495389525737,155.48929015094
"AQUIFEX_01462",258.840625788334,228.638390057502,206.321724881997,240.211018758823
"AQUIFEX_00588",334.084993750059,299.218066988296,269.115293324344,289.050603485721
"AQUIFEX_01076",170.553900713243,116.307354942294,140.537986513824,151.502385275274
"AQUIFEX_00441",431.401042980556,399.620142622242,390.715536974603,420.61846438267
"AQUIFEX_00684",355.153416779342,324.070065907589,320.944905371995,350.84762905853
"AQUIFEX_01412",160.521318318347,127.242234466784,161.469175994606,131.567860896949
"AQUIFEX_00598",238.77546099854,206.768631008523,229.246360979997,199.345243783256
"AQUIFEX_00252",611.987526088696,548.732136138004,563.148669363905,533.248527120209
"AQUIFEX_01319",357.159933258321,369.79774391909,404.669663295124,386.729772939516
"AQUIFEX_00487",250.814559872416,280.330547809632,239.213594066083,275.096436420893
"AQUIFEX_01026",214.697263250788,223.667990273643,247.187380534953,253.168459604735
"AQUIFEX_00795",125.407279936208,167.005432737653,159.475729377389,137.548218210447
"AQUIFEX_00301",362.176224455769,322.081905994046,332.905585075299,352.841081496363
"AQUIFEX_01166",184.599516066099,126.248154510012,163.462622611824,155.48929015094
"AQUIFEX_01083",240.78197747752,211.739030792382,231.239807597214,273.102983983061
"AQUIFEX_01088",90.2932415540699,124.259994596468,87.7116511575639,116.616967613205
"AQUIFEX_00861",317.029603678734,288.283187463806,260.144783546866,312.972032739712
"AQUIFEX_00393",274.892757620168,221.679830360099,258.151336929648,246.191376072321
"AQUIFEX_00474",246.801526914458,192.851511613719,221.272574511127,217.286315723749
"AQUIFEX_01430",224.729845645685,180.922552132458,209.311894807823,183.397624280595
"AQUIFEX_00479",107.348631625394,134.200794164186,135.554369970781,98.6758956727117
"AQUIFEX_00419",429.394526501577,401.608302535785,451.515658799732,457.497334482572
"AQUIFEX_01119",217.707037969257,181.91663208923,180.406918858171,208.315779753502
"AQUIFEX_00283",166.540867755285,196.827831440806,192.367598561475,164.459826121186
"AQUIFEX_01161",298.97095536792,295.241747161209,271.108739941561,254.165185823651
"AQUIFEX_01532",262.853658746292,297.229907074752,324.93179860643,310.978580301879
"AQUIFEX_00325",138.449637049574,125.25407455324,99.6723308608681,97.6791694537954
"AQUIFEX_00800",463.505306644226,491.075498645243,512.315780624862,472.448227766316
"AQUIFEX_01325",624.026624962572,586.50717449533,613.981558102947,596.042278911935
"AQUIFEX_00239",282.918823536086,255.478548890339,243.200487300518,272.106257764144
"AQUIFEX_00139",82.2671756381526,104.378395461033,109.639563946955,70.7675615430558
"AQUIFEX_00938",274.892757620168,288.283187463806,320.944905371995,261.142269356065
"AQUIFEX_00589",485.576987912998,449.324140460829,458.492721959993,484.408942393312
"AQUIFEX_00970",294.957922409962,265.419348458056,286.059589570691,259.148816918233
"AQUIFEX_00468",351.140383821383,369.79774391909,396.695876826255,378.755963188186
"AQUIFEX_01180",110.358406343863,83.5027163688267,113.62645718139,83.7250023889675
"AQUIFEX_01025",110.358406343863,83.5027163688267,75.7509714542597,103.659526767293
"AQUIFEX_01585",162.527834797326,214.721270662697,173.42985569791,189.377981594093
"AQUIFEX_00982",287.935114733534,305.182546728926,272.10546325017,261.142269356065
"AQUIFEX_00627",303.987246565369,293.253587247665,337.889201618343,319.949116272126
"AQUIFEX_00223",198.645131418954,246.531829279393,225.259467745562,217.286315723749
"AQUIFEX_01372",215.700521490278,231.620629927817,242.203763991909,270.112805326312
"AQUIFEX_01451",190.619065503036,209.750870878838,236.223424140257,217.286315723749
"AQUIFEX_00084",236.768944519561,226.650230143958,263.134953472692,255.161912042568
"AQUIFEX_00926",155.505027120898,151.100153429305,188.380705327041,177.417266967098
"AQUIFEX_01102",367.192515653218,409.560942189959,340.879371544169,364.801796123358
"AQUIFEX_00951",158.514801839367,149.111993515762,175.423302315128,189.377981594093
"AQUIFEX_01186",152.495252402429,146.129753645447,172.433132389302,124.590777364535
"AQUIFEX_00671",260.847142267313,234.602869798132,211.30534142504,240.211018758823
"AQUIFEX_00234",354.150158539852,344.945744999796,327.921968532256,387.726499158433
"AQUIFEX_01617",107.348631625394,106.366555374577,132.564200044955,143.528575523944
"AQUIFEX_00675",172.560417192223,150.106073472534,146.518326365476,179.41071940493
"AQUIFEX_00413",147.478961204981,156.070553213164,203.331554956171,173.430362091433
"AQUIFEX_00584",481.56395495504,507.974857910362,488.394421218254,514.3107289608
"AQUIFEX_00859",222.723329166706,258.460788760654,245.193933917735,271.109531545228
"AQUIFEX_01660",251.817818111906,221.679830360099,234.22997752304,260.145543137149
"AQUIFEX_01508",232.755911561602,203.786391138208,210.308618116432,236.224113883158
"AQUIFEX_01095",108.351889864884,147.123833602218,121.600243650259,147.515480399609
"AQUIFEX_01621",196.638614939975,168.993592651197,186.387258709823,160.472921245521
"AQUIFEX_01133",349.133867342404,315.123346296644,330.912138458082,304.998222988381
"AQUIFEX_01485",210.68423029283,236.591029711676,185.390535401215,223.266673037247
"AQUIFEX_00153",300.9774718469,268.401588328371,300.013715891213,275.096436420893
"AQUIFEX_00976",214.697263250788,240.567349538763,259.148060238257,233.233935226409
"AQUIFEX_01475",140.456153528553,162.035032953795,118.610073724433,114.623515175372
"AQUIFEX_00697",240.78197747752,266.413428414828,259.148060238257,233.233935226409
"AQUIFEX_00158",148.482219444471,173.963992435056,168.446239154867,135.554765772614
"AQUIFEX_00432",224.729845645685,207.762710965295,186.387258709823,233.233935226409
"AQUIFEX_01206",70.2280767642766,79.5263965417397,95.6854376264334,105.652979205126
"AQUIFEX_00708",192.625581982016,178.934392218914,153.495389525737,156.486016369856
"AQUIFEX_00903",220.716812687726,218.697590489784,247.187380534953,195.358338907591
"AQUIFEX_01441",156.508285360388,130.224474337099,130.570753427737,155.48929015094
"AQUIFEX_01579",111.361664583353,114.319195028751,142.531433131041,136.55149199153
"AQUIFEX_01420",286.931856494044,303.194386815383,311.974395594517,263.135721793898
"AQUIFEX_00485",422.371718825149,403.596462449329,488.394421218254,428.592274134
"AQUIFEX_01557",144.469186486512,128.236314423555,157.482282760172,169.443457215767
"AQUIFEX_01221",199.648389658444,229.632470014273,233.233254214431,208.315779753502
"AQUIFEX_00119",216.703779729768,241.561429495534,187.383982018432,228.250304131828
"AQUIFEX_01405",166.540867755285,184.898871959545,191.370875252867,155.48929015094
"AQUIFEX_01074",118.384472259781,128.236314423555,93.691991009216,100.669348110544
"AQUIFEX_00761",104.338856906925,123.265914639697,143.52815643965,98.6758956727117
"AQUIFEX_00636",102.332340427946,83.5027163688267,119.606797033042,77.7446450754698
"AQUIFEX_01225",160.521318318347,207.762710965295,200.341385030345,183.397624280595
"AQUIFEX_01602",222.723329166706,213.727190705925,189.377428635649,195.358338907591
"AQUIFEX_00320",219.713554448237,221.679830360099,197.351215104519,185.391076718428
"AQUIFEX_00562",558.814839395744,570.601895186982,546.204373117557,583.084838066023
"AQUIFEX_01483",264.860175225272,272.377908155458,310.977672285908,289.050603485721
"AQUIFEX_00140",268.87320818323,291.265427334122,293.036652730952,258.152090699316
"AQUIFEX_01290",455.479240728308,431.430701238938,452.512382108341,478.428585079814
"AQUIFEX_01590",313.016570720776,353.892464610742,306.990779051474,289.050603485721
"AQUIFEX_00882",199.648389658444,229.632470014273,212.302064733649,236.224113883158
"AQUIFEX_00078",80.2606591591733,49.7039978385873,89.7050977747813,65.7839304484744
"AQUIFEX_00120",162.527834797326,206.768631008523,186.387258709823,181.404171842763
"AQUIFEX_01045",333.081735510569,371.785903832633,356.826944481908,336.893461993702
"AQUIFEX_01472",407.322845232804,383.714863313894,370.781070802429,404.670844880009
"AQUIFEX_01233",201.654906137423,190.863351700175,218.282404585301,225.260125475079
"AQUIFEX_01331",518.684509816157,526.862377089025,542.217479883122,492.382752144642
"AQUIFEX_01162",186.606032545078,167.005432737653,145.521603056867,143.528575523944
"AQUIFEX_00890",382.241389245563,415.52542193059,358.820391099125,365.798522342275
"AQUIFEX_00471",82.2671756381526,90.4612760662289,114.623180489998,105.652979205126
"AQUIFEX_00690",580.886520664517,614.341413284939,605.011048325469,591.058647817354
"AQUIFEX_00502",198.645131418954,242.555509452306,219.27912789391,239.214292539907
"AQUIFEX_01208",264.860175225272,282.318707723176,297.023545965387,259.148816918233
"AQUIFEX_01210",134.436604091615,111.336955158436,103.659224095303,129.574408459116
"AQUIFEX_00704",372.208806850666,372.779983789405,349.849881321647,397.693761347595
"AQUIFEX_00152",138.449637049574,171.975832521512,144.524879748259,121.600598707786
"AQUIFEX_01019",164.534351276305,189.869271743404,167.449515846258,144.525301742861
"AQUIFEX_00251",193.628840221505,234.602869798132,211.30534142504,188.381255375177
"AQUIFEX_00638",393.277229879949,415.52542193059,416.630342998429,392.710130253014
"AQUIFEX_00540",176.573450150181,186.887031873088,217.285681276692,199.345243783256
"AQUIFEX_01702",505.642152702792,484.11693894784,510.322334007645,528.264896025628
"AQUIFEX_00356",202.658164376913,191.857431656947,221.272574511127,225.260125475079
"AQUIFEX_01604",206.671197334871,176.946232305371,229.246360979997,214.296137067
